id,name,created_at,updated_at,availability,category_id,ancestry
7,oignon,2017-12-13 17:06:23.452741,2019-01-29 10:37:13.37345,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
4,semoule,2017-12-13 17:04:26.719795,2019-01-29 10:37:13.530398,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,
42,mâche,2017-12-14 14:59:35.055577,2019-01-29 10:37:13.63185,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,86
14,roquette,2017-12-13 17:16:44.709343,2019-01-29 10:37:13.724114,"05, 06, 07, 08, 09, 10, 11",14,86
54,crème liquide,2017-12-14 15:43:30.359671,2019-01-29 10:37:13.873262,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",32,
5,tomate,2017-12-13 17:05:08.270022,2019-01-29 10:37:14.081636,"05, 06, 07, 08, 09",14,
147,mozzarella di Bufala,2017-12-14 18:08:25.001707,2019-04-16 09:58:29.667218,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,43
64,farine de blé,2017-12-14 16:06:58.112874,2019-01-29 10:37:14.377833,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,237
31,avocat,2017-12-13 17:35:10.493732,2019-01-29 10:37:14.932003,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
65,huile de friture,2017-12-14 16:08:06.957313,2019-01-29 10:37:04.865126,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",36,
283,fines herbes,2017-12-18 17:13:03.008391,2019-01-29 10:37:05.267355,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
21,riz,2017-12-13 17:24:56.856523,2019-01-29 10:37:05.344815,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",20,
41,sauce soja,2017-12-13 17:42:48.203394,2019-01-29 10:37:05.480749,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
71,gruyère,2017-12-14 16:13:50.687115,2019-01-29 10:37:05.607013,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
69,jus de citron,2017-12-14 16:12:40.757003,2019-01-29 10:37:05.734231,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",41,
67,menthe,2017-12-14 16:11:40.572035,2019-01-29 10:37:05.889916,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
30,oeuf,2017-12-13 17:33:52.371253,2019-01-29 10:37:06.103351,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",24,
63,paprika,2017-12-14 16:06:28.987868,2019-01-29 10:37:06.594793,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
24,pâte brisée,2017-12-13 17:28:10.737556,2019-01-29 10:37:06.732737,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
61,mascarpone,2017-12-14 15:49:28.802582,2019-01-29 10:37:06.899446,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
60,basilic,2017-12-14 15:48:43.675613,2019-01-29 10:37:07.145634,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
29,fromage râpé,2017-12-13 17:33:01.239436,2019-01-29 10:37:07.376959,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
52,parmesan,2017-12-14 15:42:02.880777,2019-01-29 10:37:07.505442,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
16,fromage frais aux herbes,2017-12-13 17:20:07.640253,2019-01-29 10:37:07.624402,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
51,pesto,2017-12-14 15:41:48.700431,2019-01-29 10:37:07.735739,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
47,vinaigrette,2017-12-14 15:31:30.305126,2019-01-29 10:37:07.888571,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
10,poivre,2017-12-13 17:08:30.609849,2019-01-29 10:37:08.029259,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
20,vin blanc,2017-12-13 17:24:39.547842,2019-01-29 10:37:08.234498,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",45,
34,saumon fumé,2017-12-13 17:38:05.443542,2019-01-29 10:37:08.444133,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
57,filet de saumon,2017-12-14 15:47:57.437036,2019-01-29 10:37:08.59748,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
27,boite de thon,2017-12-13 17:32:25.64453,2019-01-29 10:37:08.744225,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
